"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"2205",70,15,1,16,52,5.8,1.3,0.26,1.72,0.54,0,2,1,16,3,3,12,0,0,0,0,0,0,12,1,5,1,0,1,29,1,1,0,1,0,1,0,0,0,0,9,5,1,0,0,2,2,3,0,30,0,16,5,3,96.67,0,55,0,15.75,2.76,846.2,1,27.75,3.32,1565.4,7.36,1,33.85,1844.1,1,19,2.94,970,6.88,0,0,2.93,0,6.99,1,0,0,1,1,1,1,0,1,21,1,1,1,0,1,1,0,0,0,0,0,0,"5","0","June","2","1","1","5","0","26.3","0","4","2","3","2","3","low_spend_cust"
"2208",57,12,0,11,49,6.8,2.08,0.73,1.25,0.22,0,3,1,12,2,2,4,1,1,0,0,0,0,2,0,3,1,1,1,28,1,0,0,1,1,0,1,1,1,0,9,5,0,0,1,4,3,1,1,32,0,24,9,5,92.54,1,64,0,18.4,2.91,1185,1,43.25,3.77,2696.25,7.9,1,44.5,2719.7,1,9.75,2.28,585,6.37,0,0,2.86,0,6.97,1,1,0,1,0,1,1,0,1,18,1,1,1,0,1,0,0,0,1,0,0,1,"5","0","August","1","0","2","3","1","28.1","1","2","3","1","2","2","low_spend_cust"
"2210",66,15,0,14,71,21.3,1.35,0.3,13.78,2.62,0,5,0,-1,-1,1,2,2,0,0,0,0,0,0,1,1,1,0,3,21,1,0,1,0,0,0,0,0,0,0,9,2,1,0,0,3,1,3,0,31,1,17,12,2,53.41,0,56,0,10.05,2.31,550.1,1,19.5,2.97,1118.65,7.02,0,0,0,1,24.5,3.2,1350,7.21,0,0,2.83,0,6.88,1,0,1,1,1,1,1,1,1,11,1,1,1,0,1,0,0,1,0,0,1,0,"1","0","June","1","0","1","3","1","41.6","1","4","3","1","2","1","medium_spend_cust"
"2215",43,10,0,7,23,27.5,1.4,0.34,4.92,1.59,1,5,0,-1,-1,1,3,0,0,0,0,3,0,0,0,1,0,0,8,20,0,0,0,0,0,0,0,1,0,0,9,7,1,0,1,1,3,1,1,1,0,1,16,5,128.54,0,4,0,2.6,0.96,9.95,1,18,2.89,73.95,4.3,0,0,0,0,0,2.4,0,3.81,0,0,2.68,0,3.82,0,0,1,0,1,1,0,1,1,18,1,1,1,0,1,0,1,0,0,0,0,0,"1","0","January","2","0","2","4","0","10.7","1","3","1","2","2","1","medium_spend_cust"
"2217",42,11,0,13,43,19.7,2.4,0.87,6.07,1.8,0,5,0,-1,-1,1,2,1,1,0,0,0,0,0,0,4,1,0,1,21,1,0,1,0,0,0,0,1,1,0,9,6,1,1,1,2,4,3,0,3,0,6,4,7,176.2,1,3,0,2.65,0.97,6.15,1,14.5,2.67,51.9,3.95,0,0,0,1,24.75,3.21,60,4.09,0,0,2.68,0,3.56,0,0,0,0,0,1,0,0,1,20,1,1,1,0,0,0,0,0,0,0,0,0,"4","1","February","1","0","2","3","1","17.8","1","3","1","4","1","0","low_spend_cust"
"2219",48,12,0,18,74,2.5,0.44,-0.82,1.41,0.34,0,4,0,-1,-1,1,7,0,0,0,0,0,0,7,0,1,1,0,4,26,0,0,0,1,0,0,0,0,0,1,9,4,0,1,1,3,4,2,0,11,0,8,14,5,240.26,1,31,0,9.45,2.25,334.6,1,36.5,3.6,1038.3,6.95,0,0,0,1,19.5,2.97,580,6.36,1,25.95,3.26,803.4,6.69,0,0,1,1,1,1,1,0,1,20,1,1,1,0,1,0,0,1,0,0,0,0,"4","1","May","4","0","1","3","0","23.8","0","2","3","4","1","0","medium_spend_cust"
"2220",36,15,0,0,27,9.9,1.01,0.01,1.67,0.51,1,1,1,12,2,3,0,0,0,0,0,0,0,0,1,0,-1,1,8,28,0,0,0,1,1,0,0,1,0,0,2,5,1,0,0,1,2,2,0,18,0,17,11,3,69.17,0,52,0,16.75,2.82,797.7,1,13.75,2.62,766.8,6.64,0,0,0,1,24.75,3.21,1275,7.15,0,0,2.72,0,6.59,0,0,0,0,1,0,0,0,1,14,1,1,1,0,0,0,0,0,0,0,0,0,"3","1","December","2","0","3","3","-1","-1","-1","3","1","3","1","0","medium_spend_cust"
"2224",21,16,0,0,29,6.9,0.58,-0.54,1.42,0.35,0,1,1,15,3,3,11,0,0,0,0,0,0,11,1,3,0,1,1,28,1,0,0,1,1,0,0,1,0,0,9,4,1,1,0,3,2,2,0,3,0,3,11,1,13.48,0,43,0,10.35,2.34,437.5,0,0,2.25,0,6.04,1,37,1576.15,1,18.25,2.9,825,6.72,1,48.6,3.88,2056.4,7.63,1,1,1,1,0,0,1,1,1,21,1,1,1,1,1,1,1,1,1,1,0,0,"3","1","April","2","0","2","1","0","15.7","0","4","1","2","3","3","medium_spend_cust"
"2225",46,19,1,7,46,3.1,0.12,-2.09,1.3,0.26,0,2,1,17,4,5,1,1,0,0,0,0,0,0,1,4,1,0,1,18,1,0,0,1,0,0,0,1,0,0,9,4,0,0,0,2,1,2,0,27,0,21,12,1,14.7,1,50,0,8.6,2.15,470.3,0,0,2.35,0,6.33,0,0,0,1,24.75,3.21,1295,7.17,0,0,2.82,0,6.87,0,0,0,1,0,0,0,0,1,20,1,1,1,0,1,0,0,0,1,0,0,0,"1","1","March","1","0","1","4","0","13.4","1","3","1","1","1","1","medium_spend_cust"
"2226",20,15,0,0,16,11.8,0.29,-1.25,1.6,0.47,0,2,1,11,1,3,10,2,0,0,0,0,0,8,1,3,1,0,1,19,1,0,0,0,0,0,0,1,0,0,9,5,1,0,0,2,3,4,0,2,0,2,12,6,114.23,1,4,1,3.75,1.32,8.75,0,0,2.37,0,2.82,1,22.8,71,0,0,2.17,0,1.61,0,0,2.82,0,2.83,1,0,0,0,0,0,0,1,1,26,1,1,0,0,1,1,0,0,0,0,0,0,"2","0","April","2","0","1","1","1","7.1","1","5","4","1","3","3","medium_spend_cust"
"2227",50,13,0,2,61,6.4,0.51,-0.67,3.39,1.22,0,2,1,10,1,2,3,2,0,1,0,0,0,0,1,2,1,0,4,33,0,0,0,1,0,0,0,0,0,0,9,5,1,0,0,4,1,3,0,21,0,11,9,2,79.07,0,52,0,13.65,2.61,706.3,1,49,3.89,2493.95,7.82,0,0,0,1,19.25,2.96,1005,6.91,1,30.1,3.4,1513.35,7.32,0,1,1,1,1,1,1,0,1,17,1,1,1,0,0,0,1,0,1,0,0,0,"2","1","July","2","0","1","4","1","23","0","3","4","4","1","0","medium_spend_cust"
"2244",46,16,0,6,26,6.7,0.82,-0.2,0.93,-0.08,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,1,0,5,20,1,0,0,0,1,0,0,0,0,0,9,6,1,0,1,3,1,2,0,11,0,15,7,4,94.29,0,42,1,12.75,2.55,525.85,0,0,2.44,0,6.32,0,0,0,1,13.25,2.58,550,6.31,0,0,2.72,0,6.42,1,0,0,1,1,1,1,0,1,20,1,0,0,0,0,0,1,0,0,0,0,0,"1","1","February","2","0","4","3","1","12.7","1","4","1","1","1","0","low_spend_cust"
"2247",68,11,0,34,16,11.5,0.56,-0.58,1.28,0.25,0,4,1,12,2,2,0,0,0,0,0,0,0,0,1,2,0,1,4,35,1,0,0,1,0,0,0,1,0,1,9,5,0,0,0,3,2,4,1,40,1,30,9,5,177.29,0,72,0,63.7,4.15,4728.1,0,0,2.28,0,6.38,0,0,0,1,18.75,2.93,1265,7.14,0,0,2.89,0,6.97,1,0,0,1,0,1,1,0,1,21,1,1,1,0,0,0,0,0,1,1,0,0,"5","0","September","5","1","1","5","0","6.4","0","2","4","2","3","0","medium_spend_cust"
"2248",42,17,0,9,69,14.8,6.52,1.87,3.7,1.31,0,5,1,18,4,4,3,0,0,0,0,0,0,3,1,2,1,0,1,30,1,0,0,0,1,0,0,0,0,0,9,6,1,0,1,3,4,3,0,24,1,17,13,8,228.73,1,54,0,11.1,2.41,627.95,1,40,3.69,2291.85,7.74,1,57.1,3028.8,1,16.25,2.79,865,6.76,1,53.05,3.97,2812.9,7.94,1,1,1,1,1,1,1,0,1,24,1,1,1,1,1,1,1,1,1,0,0,0,"1","1","January","1","0","1","4","0","28.1","0","1","3","3","3","4","medium_spend_cust"
"2256",24,19,0,0,19,14.4,0.59,-0.53,2.15,0.76,0,2,1,18,4,2,7,1,0,0,0,0,0,6,1,2,1,1,1,35,1,0,0,0,1,0,0,0,0,1,9,2,1,0,1,2,1,2,0,6,1,6,11,7,129.52,0,62,1,13.3,2.59,820.55,1,36.5,3.6,2227.4,7.71,1,70.45,4310.95,1,24.5,3.2,1540,7.34,1,100.3,4.61,6010,8.7,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,0,0,1,1,"4","1","November","1","0","4","2","1","13.6","0","1","2","3","3","4","medium_spend_cust"
"2261",43,16,0,6,43,10.6,0.73,-0.31,3.82,1.34,0,4,0,-1,-1,1,2,0,1,1,0,0,0,0,1,1,1,0,4,27,1,0,0,1,0,0,1,0,0,0,9,4,0,1,1,1,3,1,0,25,1,17,15,8,462.96,1,59,0,10.55,2.36,568,1,29,3.37,1737.8,7.46,1,40.95,2324.2,1,25.5,3.24,1405,7.25,0,0,2.88,0,7.02,1,0,0,1,1,1,0,0,1,25,1,1,1,1,1,1,1,0,1,0,0,1,"2","0","March","2","0","2","4","1","26.9","1","4","2","3","3","2","high_spend_cust"
"2272",28,10,0,9,22,8.3,0.26,-1.36,1.57,0.45,0,2,0,-1,-1,1,10,2,0,3,0,0,0,5,1,3,1,0,8,29,1,0,0,0,0,0,0,1,0,0,9,7,1,0,1,1,2,3,1,10,0,10,8,4,131.88,1,36,0,8.5,2.14,277.05,0,0,2.67,0,6.35,0,0,0,1,6.5,1.87,220,5.39,0,0,2.64,0,6.24,1,0,0,0,0,0,0,0,1,16,1,1,1,0,0,0,1,0,0,0,0,0,"5","0","June","6","0","4","2","1","13.9","0","2","1","2","1","0","medium_spend_cust"
"2274",72,10,0,32,23,5.3,0.2,-1.59,1.02,0.02,0,4,1,8,1,2,10,0,2,2,0,0,0,6,0,2,0,0,5,23,1,0,1,0,1,0,0,0,0,1,9,3,0,1,0,2,1,1,0,40,1,30,11,8,213.61,0,72,0,50.75,3.93,3472.65,0,0,2.64,0,6.9,0,0,0,1,33.25,3.5,2425,7.79,0,0,2.95,0,7.41,1,0,0,0,0,0,0,0,1,18,1,1,1,0,0,0,0,0,1,0,1,0,"2","0","May","4","1","1","5","0","12.3","0","5","3","2","2","0","medium_spend_cust"
"2277",68,12,1,35,18,2.9,0.08,-2.51,0.44,-0.82,0,1,1,8,1,2,0,0,0,0,0,0,0,0,0,3,1,0,1,20,1,0,0,1,0,0,0,0,0,0,1,2,1,1,0,2,1,1,0,39,0,28,7,4,70.87,1,70,0,41.45,3.72,2877.2,0,0,2.42,0,6.55,0,0,0,1,90.75,4.51,6205,8.73,0,0,2.88,0,6.99,1,0,0,0,0,0,0,0,1,22,1,1,1,0,0,0,0,0,1,0,0,1,"2","0","January","6","1","2","4","1","8.5","1","3","4","3","3","0","low_spend_cust"
"2282",41,13,0,6,73,11.9,3.28,1.19,5.4,1.69,1,4,1,18,4,6,4,0,1,3,0,0,0,0,1,2,1,0,1,16,1,0,0,1,0,0,0,0,0,1,9,3,1,0,1,2,2,3,0,16,1,9,8,4,106.05,0,41,0,5.85,1.77,259.75,0,0,2.35,0,6.16,0,0,0,0,0,1.75,0,5.67,0,0,2.64,0,6.47,0,0,0,0,0,0,0,0,1,13,1,1,1,0,0,0,0,0,0,0,0,0,"2","0","October","2","0","1","3","1","45.6","1","3","2","3","3","0","low_spend_cust"
"2283",30,19,0,1,42,7,0.62,-0.48,2.32,0.84,0,2,0,-1,-1,1,1,0,1,0,0,0,0,0,1,1,1,1,5,26,0,0,0,0,1,0,0,0,0,0,9,6,1,0,0,5,2,4,0,4,1,5,8,5,118.77,1,30,1,9.05,2.2,271.45,0,0,2.3,0,5.36,1,51,1424.2,1,17.5,2.86,495,6.2,1,39.2,3.67,1085.75,6.99,1,1,0,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,0,0,0,0,"2","0","September","2","0","1","3","0","19.7","0","4","3","3","3","4","medium_spend_cust"
"2295",49,11,0,17,150,0,0,-0.45,0,0.45,0,3,1,9,1,2,0,0,0,0,0,0,0,0,1,3,1,0,1,28,1,0,1,0,0,1,0,0,0,0,9,6,1,0,1,1,1,2,0,22,0,24,10,4,468.04,0,63,0,28.9,3.36,1805.55,1,45.25,3.81,2876.25,7.96,1,33.45,2052.7,1,10,2.3,600,6.4,0,0,3.18,0,7.25,1,0,0,0,1,0,1,0,1,20,1,1,1,0,0,1,1,1,0,0,0,0,"3","0","June","6","0","1","4","1","84.1","0","4","4","1","2","0","medium_spend_cust"
"2300",45,18,0,1,38,16.7,0.58,-0.54,5.76,1.75,1,1,0,-1,-1,1,0,0,0,0,0,0,0,0,1,2,1,1,4,20,0,0,0,1,1,0,0,1,0,0,2,4,0,0,0,3,1,2,0,13,0,13,7,4,102.83,0,25,1,6.85,1.92,188.15,1,31.75,3.46,821.95,6.71,0,0,0,1,26.25,3.27,660,6.49,0,0,2.82,0,6.18,0,0,0,1,1,1,1,0,1,22,1,1,1,0,1,0,1,0,1,1,0,0,"5","0","October","2","0","1","4","0","15.8","0","2","1","3","3","0","low_spend_cust"
"2301",25,12,0,0,20,12.6,0.94,-0.06,1.58,0.46,1,1,1,11,1,2,0,0,0,0,0,0,0,0,1,7,1,1,1,35,1,0,0,1,0,0,0,0,0,0,9,2,1,0,0,4,1,2,1,2,0,4,12,4,165.52,1,10,1,4.55,1.52,40,1,18.75,2.93,177.05,5.18,0,0,0,0,0,2.17,0,4.44,0,0,2.68,0,4.77,0,0,0,0,0,1,1,1,1,17,1,1,1,0,1,1,1,0,0,0,0,0,"5","1","July","2","0","1","2","1","9.6","0","2","4","3","1","1","medium_spend_cust"
"2313",30,13,0,7,30,6.8,0.22,-1.53,1.82,0.6,0,4,0,-1,-1,1,2,0,2,0,0,0,0,0,0,1,0,0,4,24,0,0,0,1,1,0,0,0,0,0,9,4,0,0,1,4,1,2,1,4,1,3,7,0,0,0,8,1,9.95,2.3,114.85,0,0,2.48,0,5.37,0,0,0,0,0,2.14,0,4.79,0,0,2.68,0,5.38,0,0,0,0,0,0,0,0,1,13,1,1,1,0,0,1,1,0,0,0,0,0,"3","0","February","6","0","2","2","0","21","0","3","4","1","1","0","low_spend_cust"
"2321",67,8,0,11,30,3,0.6,-0.51,0.3,-1.21,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,23,1,0,1,0,0,0,0,0,0,1,1,5,0,0,1,3,4,3,1,9,0,7,7,7,182.83,1,35,0,7.85,2.06,234.15,1,20.25,3.01,720.55,6.58,0,0,0,1,11.5,2.44,360,5.89,0,0,2.68,0,6.09,0,0,0,1,1,0,1,0,1,23,1,1,1,0,0,0,0,0,0,0,0,1,"1","1","July","1","0","2","4","1","19.5","1","5","4","2","2","0","low_spend_cust"
"2324",41,17,0,5,56,8.8,0.09,-2.42,4.84,1.58,0,2,0,-1,-1,1,2,0,0,0,0,0,0,2,0,2,1,1,1,15,1,0,0,0,1,0,0,0,0,0,9,4,0,0,0,5,4,4,0,14,0,13,6,6,139.35,0,33,0,14.45,2.67,432.25,1,30,3.4,997.7,6.91,1,30.15,971.95,1,10.5,2.35,335,5.81,0,0,2.54,0,6.04,0,0,0,0,1,0,1,1,1,31,1,1,1,0,1,1,0,0,0,0,0,0,"2","0","August","1","0","2","3","1","17.5","1","3","4","4","3","3","medium_spend_cust"
"2327",47,14,0,11,60,9.2,2.37,0.86,3.15,1.15,0,1,0,-1,-1,3,1,1,0,0,0,0,0,0,1,1,1,0,10,14,0,0,1,0,0,0,0,0,0,1,9,4,0,0,1,1,3,3,1,5,0,4,11,5,290.82,0,10,0,3,1.1,27.95,1,17.75,2.88,158.3,5.06,0,0,0,1,18.75,2.93,145,4.98,0,0,2.64,0,4.97,0,1,0,1,1,1,1,0,1,21,1,1,1,1,1,1,0,0,0,0,0,0,"1","0","May","1","0","3","3","0","29.6","0","4","1","1","1","0","medium_spend_cust"
"2328",75,14,0,22,11,21.5,1.65,0.5,0.72,-0.33,0,5,0,-1,-1,1,4,3,1,0,0,0,0,0,1,2,0,1,9,26,1,0,1,0,0,0,1,1,1,0,9,5,1,0,1,2,4,2,1,30,0,27,2,1,13.7,0,65,1,16,2.77,1083.9,0,0,2.6,0,6.68,0,0,0,1,23.25,3.15,1475,7.3,0,0,3.03,0,7.07,1,0,0,1,1,0,0,1,1,15,1,1,1,0,0,0,1,0,1,0,1,0,"2","1","November","2","1","1","5","0","5.1","0","3","4","4","2","0","low_spend_cust"
"2339",21,14,0,1,25,5.9,0.46,-0.79,1.02,0.02,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,2,1,0,1,24,1,1,0,0,0,0,0,0,0,0,9,4,0,0,1,1,1,4,0,3,0,3,7,4,218.53,0,19,0,6.1,1.81,134.45,0,0,2.17,0,4.76,0,0,0,0,0,1.7,0,3.81,0,0,2.54,0,4.93,0,0,0,0,0,0,0,0,1,20,1,1,1,0,1,0,1,0,0,0,0,1,"1","1","April","6","0","1","1","1","16","1","5","4","1","3","0","medium_spend_cust"
"2340",66,16,0,10,77,10.5,0.7,-0.36,7.39,2,0,4,0,-1,-1,1,4,3,1,0,0,0,0,0,0,2,1,0,1,31,1,0,1,1,1,0,0,1,0,0,2,4,0,0,0,3,4,3,1,27,0,25,12,4,147.17,0,66,0,24.55,3.2,1525.85,1,25.75,3.25,1692.15,7.43,0,0,0,0,0,1.87,0,6.08,0,0,2.9,0,7.11,1,0,0,1,0,1,0,0,1,21,1,1,1,0,1,1,0,0,0,0,0,0,"3","0","January","1","0","1","5","1","37.3","1","4","1","1","1","0","medium_spend_cust"
"2342",24,14,0,2,35,19.7,4.01,1.39,2.89,1.06,1,3,0,-1,-1,2,3,2,1,0,0,0,0,0,0,0,-1,0,4,22,0,0,0,1,0,0,0,0,0,1,9,4,0,0,1,4,2,1,0,2,0,1,9,5,154.4,1,4,1,2.9,1.06,7.8,1,12.75,2.55,45.15,3.81,0,0,0,1,8.75,2.17,20,3,1,19.6,2.98,68.4,4.23,0,1,1,1,1,1,1,0,1,16,1,1,1,0,1,1,1,0,0,0,0,0,"1","0","February","4","0","2","1","-1","-1","-1","2","4","3","1","2","medium_spend_cust"
"2345",58,16,0,15,129,8.4,0.59,-0.54,10.25,2.33,0,5,1,15,3,2,7,0,0,0,0,0,0,7,1,2,1,1,1,28,1,0,0,0,0,0,1,0,0,0,9,6,1,0,0,4,4,4,0,11,0,8,13,5,99.12,0,40,0,9.05,2.2,392.9,0,0,2.85,0,6.33,0,0,0,0,0,1.95,0,5.35,0,0,2.72,0,6.22,1,0,0,0,1,0,1,0,1,16,1,1,1,0,0,1,1,0,1,1,0,0,"5","1","March","2","0","1","4","1","71.9","0","3","4","2","2","0","medium_spend_cust"
"2346",18,13,1,0,16,1.5,0.04,-3.11,0.2,-1.63,0,3,1,10,1,7,0,0,0,0,0,0,0,0,1,3,1,0,1,23,1,0,1,0,0,0,0,0,0,0,1,4,0,0,1,5,4,1,0,0,0,0,11,2,38.53,0,7,0,4.15,1.42,29.6,0,0,2.44,0,4.56,0,0,0,0,0,2.11,0,3.4,0,0,2.68,0,3.89,0,0,0,0,0,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0,0,0,"2","1","August","1","0","3","1","1","8.1","0","3","3","1","3","0","low_spend_cust"
"2351",67,16,0,10,18,10.4,0.3,-1.21,1.57,0.45,0,1,1,10,1,2,0,0,0,0,0,0,0,0,1,3,1,0,1,23,1,0,0,0,1,0,0,0,0,0,9,6,0,0,1,4,2,4,0,38,0,29,10,8,179.02,0,71,0,53.5,3.98,3790.6,0,0,2.55,0,6.85,1,41.15,2765.15,1,22.5,3.11,1590,7.37,0,0,3.03,0,7.3,1,1,1,0,0,0,1,1,1,21,1,1,1,0,1,1,1,0,1,0,0,0,"2","0","October","2","1","1","5","1","9.1","0","3","2","1","3","3","medium_spend_cust"
"2355",46,16,0,8,33,2.9,0.35,-1.05,0.61,-0.5,0,3,1,15,3,2,0,0,0,0,0,0,0,0,0,1,0,1,8,20,0,1,0,1,0,0,0,1,0,0,9,4,0,0,1,2,3,3,0,10,0,5,12,8,181.84,1,27,1,8.25,2.11,216.55,0,0,2.44,0,5.95,0,0,0,1,16.75,2.82,430,6.06,0,0,2.64,0,5.71,0,0,0,0,1,0,0,0,1,30,1,1,1,0,0,1,0,0,1,0,0,0,"2","0","October","1","0","2","3","1","17.8","0","1","2","2","3","0","medium_spend_cust"
"2365",50,10,0,6,70,3.5,0.76,-0.27,1.69,0.52,0,3,0,-1,-1,1,7,3,0,0,0,0,0,4,0,1,1,1,8,27,1,0,0,0,1,0,0,1,0,0,9,4,0,0,1,3,3,4,0,13,0,10,7,5,242.89,0,23,0,7.95,2.07,159.15,1,15.25,2.72,348.6,5.85,0,0,0,0,0,1.66,0,4.91,0,0,2.68,0,5.88,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0,"4","1","January","2","0","3","4","0","35","1","2","3","2","2","0","medium_spend_cust"
"2367",38,11,0,5,85,5.8,1.07,0.07,3.86,1.35,0,3,1,15,3,4,6,2,0,0,0,0,0,4,1,4,1,0,1,31,1,0,0,0,0,1,1,1,0,0,9,4,0,0,1,3,2,3,0,18,0,9,12,7,203.52,0,43,0,10.85,2.38,451.15,0,0,2.79,0,6.48,0,0,0,1,7.25,1.98,315,5.75,0,0,2.64,0,6.51,0,0,0,0,0,1,0,0,1,28,1,1,1,1,0,0,1,0,1,0,0,0,"1","1","February","1","0","1","3","1","46.9","1","5","3","2","3","0","medium_spend_cust"
"2368",66,15,0,25,11,21.4,2.2,0.79,0.15,-1.89,0,5,1,17,4,2,7,0,2,0,0,0,0,5,0,1,1,0,5,23,0,0,0,0,1,0,0,0,1,0,9,4,0,0,0,3,1,2,0,31,0,25,13,3,65,1,57,0,20.15,3,1074.7,0,0,2.35,0,6.44,0,0,0,1,29.25,3.38,1725,7.45,0,0,2.82,0,6.87,1,0,0,0,0,0,0,0,1,19,1,1,1,0,1,0,1,0,1,0,0,0,"2","0","January","6","1","2","4","1","6.5","0","2","1","3","2","0","low_spend_cust"
"2374",78,12,0,49,84,25.7,5.79,1.76,15.8,2.76,0,2,0,-1,-1,1,3,0,3,0,0,0,0,0,1,2,1,1,4,24,1,0,1,1,0,0,0,0,0,0,9,2,1,1,1,5,1,2,0,35,1,25,13,4,178.54,1,69,0,36.5,3.6,2356.3,1,60.5,4.1,4272.7,8.36,0,0,0,1,30.25,3.41,2155,7.68,1,39.55,3.68,2676,7.89,1,1,1,1,1,1,1,0,1,17,1,1,1,0,1,0,0,1,0,1,1,0,"4","1","February","6","1","4","5","1","50.6","0","1","2","2","3","0","medium_spend_cust"
"2376",61,19,0,11,38,15.6,1.3,0.26,4.63,1.53,0,4,1,19,4,2,1,0,1,0,0,0,0,0,1,2,1,0,4,25,1,0,0,1,0,1,1,0,0,0,2,4,0,0,0,1,2,1,0,28,0,19,12,8,215.3,0,56,0,21.45,3.07,1143.6,1,44.25,3.79,2480.55,7.82,0,0,0,1,14,2.64,765,6.64,1,32.75,3.49,1786.1,7.49,1,1,0,1,1,1,1,0,1,17,1,1,1,0,0,0,1,0,1,0,0,0,"5","1","April","1","0","3","5","1","17.9","0","3","4","4","2","0","medium_spend_cust"
"2381",42,12,0,13,44,8.6,1.67,0.51,2.12,0.75,0,4,0,-1,-1,3,0,0,0,0,0,0,0,0,1,1,0,0,4,31,0,1,1,1,0,1,1,0,0,0,9,4,1,0,0,4,4,3,0,6,0,7,18,9,203.63,1,21,0,7.5,2.01,149.55,0,0,2.72,0,6.19,1,29.05,585.45,0,0,2.01,0,5.25,0,0,2.54,0,5.97,0,0,0,0,0,0,0,0,1,28,1,1,1,0,1,1,1,0,0,0,0,0,"5","0","September","4","0","1","4","1","25.7","1","1","1","2","1","3","medium_spend_cust"
"2390",34,16,1,10,132,1.5,1.17,0.15,0.81,-0.21,0,5,0,-1,-1,2,0,0,0,0,0,0,0,0,1,1,1,0,7,30,0,0,0,0,0,0,1,0,1,0,9,6,1,0,0,3,2,3,0,16,0,17,8,8,242.49,0,52,0,11.85,2.47,581.65,0,0,2.55,0,6.61,1,35.05,1785.1,1,10.75,2.37,560,6.33,0,0,2.83,0,6.91,1,1,0,0,0,0,0,0,1,16,1,1,1,0,1,1,1,0,1,0,1,1,"5","0","July","6","0","3","3","0","57.3","1","4","4","1","3","3","medium_spend_cust"
"2392",57,13,0,6,45,9.3,1.2,0.18,2.98,1.09,0,1,0,-1,-1,1,4,0,0,0,0,0,0,4,0,4,1,1,1,46,1,0,1,1,1,0,1,1,1,0,9,2,1,0,1,3,1,3,0,12,0,11,8,7,102.13,0,26,0,9.95,2.3,248.4,0,0,2.69,0,6.06,0,0,0,0,0,1.95,0,5.16,0,0,2.54,0,5.92,0,0,0,0,0,0,0,0,1,16,1,1,1,0,0,0,0,0,0,0,0,1,"5","0","December","2","0","2","3","0","23.4","1","2","3","2","3","0","low_spend_cust"
"2395",39,18,0,3,85,14.2,1.71,0.54,10.36,2.34,0,1,0,-1,-1,1,0,0,0,0,0,0,0,0,1,2,1,1,1,24,1,0,0,0,1,0,0,0,0,0,9,4,0,0,1,4,2,1,0,14,0,11,15,1,23.91,1,31,0,8.05,2.09,251.45,0,0,2.58,0,5.92,1,40.55,1206.1,1,26.75,3.29,790,6.67,1,32.9,3.49,937.2,6.84,1,1,0,1,0,1,1,1,1,21,1,1,1,0,1,1,1,1,0,0,0,1,"1","0","October","1","0","1","3","0","34.3","0","2","1","4","2","3","medium_spend_cust"
"2401",27,8,0,3,24,17.6,0.41,-0.9,3.82,1.34,1,1,0,-1,-1,1,2,0,0,2,0,0,0,0,0,3,1,0,1,17,1,1,0,0,0,0,0,1,0,0,9,4,0,0,1,3,3,3,0,4,0,5,8,6,84.38,0,10,0,5.65,1.73,50.4,0,0,2.14,0,4.09,0,0,0,0,0,1.32,0,2.9,0,0,2.64,0,4.48,0,0,0,0,0,0,0,0,1,27,1,1,1,0,0,0,0,0,0,0,0,0,"1","0","September","1","0","3","2","0","9.8","0","5","3","3","3","0","low_spend_cust"
"2404",20,13,0,0,25,2.2,0.27,-1.32,0.28,-1.26,0,1,0,-1,-1,1,4,0,0,0,0,0,4,0,0,1,1,0,4,22,0,0,0,1,0,0,1,0,0,0,9,4,0,0,0,2,1,4,1,2,0,3,14,5,66.16,1,9,0,2.85,1.05,32,1,24.25,3.19,193.5,5.27,1,36.25,316.25,1,9.5,2.25,45,3.81,1,35.35,3.57,266.95,5.59,0,1,1,1,1,1,1,0,1,12,1,0,1,0,1,1,1,1,0,0,0,0,"1","1","February","2","0","2","1","1","12.5","1","3","3","3","3","3","low_spend_cust"
